# Canonical Flight Commander firmware targets.
# Format: TARGET|MCU|DRONECAN
# DRONECAN is NONE, TARGET (pins supplied by target.h), or RX_PIN,TX_PIN.
AEDROXH7|STM32H743XI|TARGET
AETH743Basic|STM32H743XI|NONE
AOCODARCH7DUAL|STM32H743XI|NONE
AXISFLYINGH743PRO|STM32H743XI|NONE
BLADE_PRO_H7|STM32H743XI|NONE
BLUEBERRYH743|STM32H743XI|NONE
BLUEBERRYH743HD|STM32H743XI|NONE
BRAHMA_H7|STM32H743XI|NONE
BROTHERHOBBYH743|STM32H743XI|NONE
CORVON743V1|STM32H743XI|NONE
DAKEFPVH743|STM32H743XI|NONE
DAKEFPVH743PRO|STM32H743XI|NONE
DAKEFPVH743_SLIM|STM32H743XI|NONE
FLYWOOH743PRO|STM32H743XI|NONE
FOXEERH743|STM32H743XI|NONE
GEPRC_TAKER_H743|STM32H743XI|NONE
HAKRCH743|STM32H743XI|NONE
IFLIGHT_2RAW_H743|STM32H743XI|NONE
IFLIGHT_BLITZ_H7_PRO|STM32H743XI|NONE
IFLIGHT_BLITZ_H7_WING|STM32H743XI|NONE
JHEMCUH743HD|STM32H743XI|NONE
KAKUTEH7|STM32H743XI|NONE
KAKUTEH7MINI|STM32H743XI|NONE
KAKUTEH7V2|STM32H743XI|NONE
KAKUTEH7WING|STM32H743XI|NONE
MAMBAH743|STM32H743XI|NONE
MAMBAH743_2022B|STM32H743XI|NONE
MAMBAH743_2022B_GYRO2|STM32H743XI|NONE
MATEKH743|STM32H743XI|NONE
MATEKH743HD|STM32H743XI|NONE
MICOAIR743|STM32H743XI|PB8,PB9
MICOAIR743AIO|STM32H743XI|NONE
MICOAIR743V2|STM32H743XI|NONE
MICOAIR743V2_EXTMAG|STM32H743XI|NONE
MICOAIR743_EXTMAG|STM32H743XI|PB8,PB9
NEUTRONRCH7BT|STM32H743XI|NONE
ORBITH743|STM32H743XI|NONE
SDMODELH7V1|STM32H743XI|NONE
SDMODELH7V2|STM32H743XI|NONE
SEQUREH7|STM32H743XI|NONE
SEQUREH7V2|STM32H743XI|NONE
SIMPLIFLYH7|STM32H743XI|NONE
SKYSTARSH743HD|STM32H743XI|NONE
SPEDIXH743|STM32H743XI|NONE
TBS_LUCID_H7|STM32H743XI|NONE
TBS_LUCID_H7_OEM|STM32H743XI|TARGET
TBS_LUCID_H7_V3|STM32H743XI|TARGET
TBS_LUCID_H7_WING|STM32H743XI|NONE
TBS_LUCID_H7_WING_MINI|STM32H743XI|NONE
CUBEORANGEPLUS|STM32H757XI|PD0,PD1
